Fecha,Cierre
"2015-12-14",6.42
"2015-12-15",6.52
"2015-12-16",6.46
"2015-12-17",6.58
"2015-12-18",6.48
"2015-12-21",6.33
"2015-12-22",6.34
"2015-12-23",6.47
"2015-12-24",6.5
"2015-12-28",6.47
"2015-12-29",6.59
"2015-12-30",6.58
"2015-12-31",6.55
"2016-01-04",6.41
"2016-01-05",6.49
"2016-01-06",6.46
"2016-01-07",6.46
"2016-01-08",6.42
"2016-01-11",6.42
"2016-01-12",6.25
"2016-01-13",6.29
"2016-01-14",6.24
"2016-01-15",6.16
"2016-01-18",6.13
"2016-01-19",6.25
"2016-01-20",6.17
"2016-01-21",6.15
"2016-01-22",6.3
"2016-01-25",6.31
"2016-01-26",6.36
"2016-01-27",6.5
"2016-01-28",6.45
"2016-01-29",6.45
"2016-02-01",6.52
"2016-02-02",6.43
"2016-02-03",6.36
"2016-02-04",6.32
"2016-02-05",6.24
"2016-02-08",6.14
"2016-02-09",6.08
"2016-02-10",6.07
"2016-02-11",5.93
"2016-02-12",5.88
"2016-02-15",6.03
"2016-02-16",5.97
"2016-02-17",5.98
"2016-02-18",6.05
"2016-02-19",6.01
"2016-02-22",6.05
"2016-02-23",5.96
"2016-02-24",5.87
"2016-02-25",5.93
"2016-02-26",5.93
"2016-02-29",5.96
"2016-03-01",5.98
"2016-03-02",5.92
"2016-03-03",5.9
"2016-03-04",5.88
"2016-03-07",5.8
"2016-03-08",5.82
"2016-03-09",5.95
"2016-03-10",6.02
"2016-03-11",6.11
"2016-03-14",6.09
"2016-03-16",6.03
"2016-03-17",6.04
"2016-03-18",6.05
"2016-03-22",5.98
"2016-03-23",5.99
"2016-03-24",5.95
"2016-03-29",5.99
"2016-03-30",5.95
"2016-03-31",5.86
"2016-04-01",5.82
"2016-04-04",5.84
"2016-04-05",5.76
"2016-04-06",5.78
"2016-04-07",5.75
"2016-04-08",5.81
"2016-04-12",5.87
"2016-04-13",5.92
"2016-04-14",5.93
"2016-04-15",5.95
"2016-04-18",5.97
"2016-04-19",6
"2016-04-20",6.11
"2016-04-21",6.07
"2016-04-22",6.13
"2016-04-25",6.1
"2016-04-26",6.17
"2016-04-27",6.21
"2016-04-28",6.28
"2016-04-29",6.2
"2016-05-02",6.26
"2016-05-03",6.14
"2016-05-04",6.06
"2016-05-05",6.09
"2016-05-06",6.1
"2016-05-09",6.1
"2016-05-10",6.17
"2016-05-11",6.04
"2016-05-12",6.07
"2016-05-13",6.13
"2016-05-16",6.11
"2016-05-17",6.05
"2016-05-18",6.08
"2016-05-19",6.03
"2016-05-20",6.08
"2016-05-23",6
"2016-05-24",6.1
"2016-05-25",6.16
"2016-05-26",6.16
"2016-05-27",6.17
"2016-05-30",6.17
"2016-05-31",6.1
"2016-06-01",6
"2016-06-02",6.02
"2016-06-03",5.98
"2016-06-06",5.98
"2016-06-07",6.03
"2016-06-08",6.05
"2016-06-09",6.08
"2016-06-10",5.91
"2016-06-13",5.81
"2016-06-14",5.67
"2016-06-15",5.72
"2016-06-16",5.71
"2016-06-17",5.81
"2016-06-20",6.02
"2016-06-21",5.97
"2016-06-22",5.99
"2016-06-23",6
"2016-06-24",5.39
"2016-06-27",5.54
"2016-06-28",5.71
"2016-06-29",5.94
"2016-06-30",6.09
"2016-07-01",6.06
"2016-07-04",6.11
"2016-07-05",5.73
"2016-07-06",5.7
"2016-07-07",5.78
"2016-07-08",5.86
"2016-07-11",5.87
"2016-07-12",5.85
"2016-07-13",5.94
"2016-07-14",5.95
"2016-07-15",5.97
"2016-07-18",6.01
"2016-07-19",5.99
"2016-07-20",6.14
"2016-07-21",6.14
"2016-07-22",6.13
"2016-07-25",6.18
"2016-07-26",6.18
"2016-07-27",6.16
"2016-07-28",6.1
"2016-07-29",6.15
"2016-08-01",6.09
"2016-08-02",6
"2016-08-03",5.96
"2016-08-04",6
"2016-08-05",6.03
"2016-08-08",6.02
"2016-08-09",6.03
"2016-08-10",6.01
"2016-08-11",6.08
"2016-08-12",6.09
"2016-08-15",6.08
"2016-08-16",5.97
"2016-08-17",5.9
"2016-08-18",5.92
"2016-08-19",5.86
"2016-08-22",5.88
"2016-08-23",5.91
"2016-08-24",5.89
"2016-08-25",5.88
"2016-08-26",5.89
"2016-08-29",5.88
"2016-08-30",5.89
"2016-08-31",5.9
"2016-09-01",5.91
"2016-09-02",6.02
"2016-09-05",6.05
"2016-09-06",6.02
"2016-09-07",6.11
"2016-09-08",6.08
"2016-09-09",6.04
"2016-09-12",5.94
"2016-09-13",5.91
"2016-09-14",5.91
"2016-09-15",5.89
"2016-09-16",5.93
"2016-09-19",5.99
"2016-09-20",5.96
"2016-09-21",5.93
"2016-09-22",6.04
"2016-09-23",5.99
"2016-09-26",5.97
"2016-09-27",5.95
"2016-09-28",6.03
"2016-09-29",6.07
"2016-09-30",6.05
"2016-10-03",6.04
"2016-10-04",6.01
"2016-10-05",5.96
"2016-10-06",5.92
"2016-10-07",5.85
"2016-10-10",5.91
"2016-10-11",5.87
"2016-10-12",5.85
"2016-10-13",5.88
"2016-10-14",6
"2016-10-17",6
"2016-10-18",6.09
"2016-10-19",6.11
"2016-10-20",6.15
"2016-10-21",6.19
"2016-10-24",6.18
"2016-10-25",6.18
"2016-10-26",6.23
"2016-10-27",6.21
"2016-10-28",6.23
"2016-10-31",6.21
"2016-11-01",6.17
"2016-11-02",6.1
"2016-11-03",6.06
"2016-11-04",6.02
"2016-11-07",6.06
"2016-11-08",6.05
"2016-11-09",5.92
"2016-11-10",5.76
"2016-11-11",5.72
"2016-11-14",5.64
"2016-11-15",5.65
"2016-11-16",5.59
"2016-11-17",5.71
"2016-11-18",5.64
"2016-11-21",5.63
"2016-11-22",5.63
"2016-11-23",5.59
"2016-11-24",5.6
"2016-11-25",5.72
"2016-11-28",5.72
"2016-11-29",5.73
"2016-11-30",5.68
"2016-12-01",5.6
"2016-12-02",5.6
"2016-12-05",5.58
"2016-12-06",5.78
"2016-12-07",5.73
"2016-12-08",5.75
"2016-12-09",5.83
"2016-12-12",5.89
